Country,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net financial wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education,Subject Descriptor,Units,Scale,Country/Series-specific Notes,GDP per capita,Estimates Start After
Australia,5.0,1.1,80.0,13.2,72.0,63.6,1.0,33417.0,57462.0,20.0,4.3,82.5,7.3,1.36,52063.0,94.0,2.3,85.0,2.7,502.0,14.35,91.0,92.0,21.2,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,50962.0,2014.0
Austria,16.0,1.0,85.0,6.78,72.0,80.7,0.4,32544.0,59574.0,21.0,2.7,81.3,7.0,1.94,48295.0,92.0,1.6,70.0,1.3,492.0,14.55,75.0,93.0,17.1,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,43724.0,2015.0
Belgium,15.0,2.3,75.0,4.31,62.0,70.7,1.0,29968.0,104084.0,21.0,4.8,81.1,6.9,3.98,49587.0,92.0,2.2,75.0,2.2,503.0,15.77,89.0,84.0,18.2,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,40107.0,2014.0
Brazil,10.0,6.7,49.0,7.15,64.0,37.3,27.6,12227.0,7102.0,20.0,4.9,74.7,6.6,3.37,14024.0,90.0,0.8,70.0,2.2,395.0,14.45,79.0,72.0,15.9,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,8670.0,2014.0
Canada,7.0,0.2,91.0,3.73,73.0,80.9,1.4,29850.0,85758.0,22.0,3.9,81.5,7.3,0.81,48403.0,93.0,2.5,88.0,3.0,523.0,14.41,68.0,91.0,16.7,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,43332.0,2015.0
Chile,16.0,9.4,65.0,10.06,62.0,51.1,4.5,16588.0,21409.0,18.0,8.1,79.1,6.7,2.02,28434.0,84.0,1.9,57.0,1.5,443.0,14.9,49.0,69.0,17.3,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,13341.0,2014.0
Czech Republic,20.0,0.6,93.0,5.77,72.0,68.3,0.8,21103.0,24258.0,24.0,1.8,78.7,6.6,1.71,23722.0,89.0,1.4,61.0,2.6,491.0,15.06,59.0,87.0,17.3,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,17257.0,2015.0
Denmark,9.0,0.6,81.0,2.2,75.0,83.0,0.7,28950.0,73543.0,24.0,2.3,80.8,7.5,1.35,52580.0,95.0,1.9,72.0,2.1,504.0,15.87,86.0,94.0,19.7,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,52114.0,2015.0
Estonia,8.0,6.9,89.0,2.69,72.0,67.2,3.1,18665.0,16967.0,18.0,4.0,77.7,5.6,2.13,23621.0,90.0,1.6,51.0,2.8,524.0,14.9,64.0,82.0,15.8,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,17288.0,2014.0
Finland,6.0,0.5,88.0,3.91,69.0,82.9,1.4,29374.0,27972.0,23.0,2.7,81.6,7.5,2.33,42127.0,95.0,1.9,70.0,2.3,523.0,15.17,69.0,94.0,19.8,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,41974.0,2014.0
