Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,GDP per capita,Estimates Start After
Afghanistan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,600.0,2013.0
Albania,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3995.0,2010.0
Algeria,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4318.0,2014.0
Angola,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4100.0,2014.0
Antigua and Barbuda,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,14414.0,2011.0
Argentina,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,13589.0,2013.0
Armenia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3535.0,2014.0
Australia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,50962.0,2014.0
Austria,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,43724.0,2015.0
Azerbaijan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5739.0,2014.0
The Bahamas,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,23903.0,2013.0
Bahrain,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,23510.0,2014.0
Bangladesh,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1287.0,2013.0
Barbados,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,15774.0,2010.0
Belarus,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5749.0,2013.0
Belgium,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,40107.0,2014.0
Belize,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4842.0,2013.0
Benin,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,780.0,2011.0
Bhutan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2843.0,2011.0
Bolivia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2886.0,2012.0
Bosnia and Herzegovina,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4088.0,2014.0
Botswana,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,6041.0,2008.0
Brazil,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,8670.0,2014.0
Brunei Darussalam,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,28237.0,2013.0
Bulgaria,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,6832.0,2014.0
Burkina Faso,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,615.0,2012.0
Burundi,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,306.0,0.0
Cabo Verde,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3039.0,2014.0
Cambodia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1168.0,2012.0
Cameroon,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1232.0,2010.0
Canada,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,43332.0,2015.0
Central African Republic,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,335.0,2004.0
Chad,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,942.0,2004.0
Chile,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,13341.0,2014.0
