Country;Subject Descriptor;Units;Scale;Country/Series-specific Notes;2015;Estimates Start After
Afghanistan;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;600;2013
Albania;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;3.995;2010
Algeria;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;4.318;2014
Angola;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;4.100;2014
Antigua and Barbuda;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;14.414;2011
Argentina;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;13.589;2013
Armenia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;3.535;2014
Australia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;50.962;2014
Austria;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;43.724;2015
Azerbaijan;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;5.739;2014
The Bahamas;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;23.903;2013
Bahrain;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;23.510;2014
Bangladesh;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.287;2013
Barbados;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;15.774;2010
Belarus;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;5.749;2013
Belgium;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;40.107;2014
Belize;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;4.842;2013
Benin;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;780;2011
Bhutan;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;2.843;2011
Bolivia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;2.886;2012
Bosnia and Herzegovina;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;4.088;2014
Botswana;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;6.041;2008
Brazil;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;8.670;2014
Brunei Darussalam;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;28.237;2013
Bulgaria;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;6.832;2014
Burkina Faso;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;615;2012
Burundi;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;306;0
Cabo Verde;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;3.039;2014
Cambodia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.168;2012
Cameroon;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.232;2010
Canada;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;43.332;2015
Central African Republic;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;335;2004
Chad;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;942;2004
Chile;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;13.341;2014
China;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;7.990;2015
Colombia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;6.084;2014
Comoros;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;736;2003
Democratic Republic of the Congo;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;476;1983
Republic of Congo;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;2.032;2004
Costa Rica;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;10.936;2011
Croatia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;11.573;2013
Cyprus;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;22.587;2014
Czech Republic;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;17.257;2015
Denmark;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;52.114;2015
